outlet_name,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,n_outlets_at_postal,shared_postal
7-Eleven Store Sixth Avenue,276472,Authorised Retailer (7-Eleven),5,14,19,matched,1,0
7-Eleven Store Choa Chu Kang Drive,682689,Authorised Retailer (7-Eleven),5,26,31,matched,1,0
7-Eleven Store Changi Road,419701,Authorised Retailer (7-Eleven),5,19,24,matched,1,0
Yeo Soon Huat,310070,Authorised Retailer,4,9,13,matched,2,1
U Stars Keat Hong Link,680817,Authorised Retailer,4,7,11,matched,1,0
Teo Khar Bee Agency,150084,Authorised Retailer,4,26,30,matched,2,1
Tan Ah Leck Trading - Bukit Batok Street 11,650151,Authorised Retailer,4,29,33,matched,1,0
Springdale Garments Co,560408,Authorised Retailer,4,43,47,matched,1,0
Singapore Pools Yishun N2 Branch,760256,Branch,4,30,34,matched,1,0
Singapore Pools Teban Gardens Branch,600037,Branch,4,24,28,matched,1,0
Singapore Pools Jalan Tiga Branch,390043,Branch,4,42,46,matched,1,0
Singapore Pools Ghim Moh Branch,270021,Branch,4,28,32,matched,1,0
Singapore Pools Geylang Bahru Branch,330057,Branch,4,19,23,matched,1,0
Singapore Pools Circuit Road 88 Branch,370088,Branch,4,26,30,matched,1,0
Singapore Pools Bukit Gombak Branch,650374,Branch,4,34,38,matched,1,0
Singapore Pools Bedok North Branch,460509,Branch,4,27,31,matched,1,0
Sheng Siong Tanglin Halt Road,141088,Authorised Retailer,4,22,26,matched,1,0
Sheng Moh Fruits & Provision Store,128632,Authorised Retailer,4,13,17,matched,1,0
Prime Keat Hong,680253,Authorised Retailer,4,20,24,matched,1,0
NTUC FairPrice Yung Kuang Road,610063,,4,15,19,scraped,1,0
NTUC FairPrice Yew Tee Point,689578,Authorised Retailer (FairPrice),4,34,38,matched,1,0
NTUC FairPrice Woodlands Civic Centre,730900,Authorised Retailer (FairPrice),4,30,34,matched,1,0
NTUC FairPrice Thomson Plaza,574408,Authorised Retailer (FairPrice),4,37,41,matched,1,0
NTUC FairPrice Tampines Street 83,521866,Authorised Retailer (FairPrice),4,21,25,matched,1,0
NTUC FairPrice Tampines Street 44,520475,Authorised Retailer (FairPrice),4,15,19,matched,1,0
NTUC FairPrice Rivervale Mall,545082,Authorised Retailer (FairPrice),4,13,17,matched,1,0
NTUC FairPrice Punggol Oasis Terraces,820681,Authorised Retailer (FairPrice),4,20,24,matched,1,0
NTUC FairPrice Parkway Parade,449269,Authorised Retailer (FairPrice),4,25,29,matched,2,1
NTUC FairPrice Marine Parade Central,449411,Authorised Retailer (FairPrice),4,12,16,matched,1,0
NTUC FairPrice Limbang Shopping Centre,680533,Authorised Retailer (FairPrice),4,20,24,matched,1,0
NTUC FairPrice E!Hub @ Downtown East,519599,Authorised Retailer (FairPrice),4,15,19,matched,1,0
NTUC FairPrice Clementi Avenue 2,120352,Authorised Retailer (FairPrice),4,19,23,matched,1,0
Ng Nam Thye Trading - Ang Mo Kio Avenue 3,569922,Authorised Retailer,4,28,32,matched,2,1
Lim Heng Ee Trading Pte. Ltd.,380016,Authorised Retailer,4,17,21,matched,1,0
Golden Lagoon Trading,730136,Authorised Retailer,4,22,26,matched,1,0
Goh Geok Kwee Agency - Bukit Merah,150124,Authorised Retailer,4,21,25,matched,1,0
Giant Beauty World Centre,588177,Authorised Retailer,4,28,32,matched,1,0
Chua Hong Kim Trading,550237,Authorised Retailer,4,34,38,matched,1,0
Chop Yeo Thong Heng,370076,Authorised Retailer,4,13,17,matched,1,0
Chong Hoe Tong,310021,Authorised Retailer,4,22,26,matched,1,0
Cheng Chew Wah Agency - Bedok South Road,460017,Authorised Retailer,4,23,27,matched,2,1
Cheers Hougang Avenue 3,530023,Authorised Retailer,4,15,19,matched,1,0
7-Eleven Store Plaza Singapura,238839,Authorised Retailer (7-Eleven),4,22,26,matched,1,0
7-Eleven Store Foch Road,209264,Authorised Retailer (7-Eleven),4,13,17,matched,1,0
7-Eleven Store Bedok North Street 2,460123,Authorised Retailer (7-Eleven),4,23,27,matched,1,0
Tan Ah Leck Trading - Jurong East Street 31,600352,Betting Centre,3,7,10,matched,4,1
Superbowl Jurong Pte Ltd,618642,Authorised Retailer,3,27,30,matched,1,0
Singapore Pools Woodlands N8 Branch,730883,Branch,3,40,43,matched,1,0
Singapore Pools Upper Boon Keng Branch,380018,Branch,3,33,36,matched,1,0
Singapore Pools Telok Blangah Branch,090006,Branch,3,24,27,matched,1,0
Singapore Pools Peace Centre Branch,228149,,3,17,20,scraped,1,0
Singapore Pools Pasir Ris N7 Branch,510735,Branch,3,34,37,matched,1,0
Singapore Pools Canberra Branch,750505,Branch,3,30,33,matched,1,0
Singapore Pools Ang Mo Kio N2A Branch,561226,Branch,3,32,35,matched,1,0
Prime Yishun Avenue 6,760461,Authorised Retailer,3,3,6,matched,1,0
Papillon Florist Pte Ltd,160133,Authorised Retailer,3,12,15,matched,1,0
NTUC FP Century Square,529509,,3,4,7,scraped,2,1
NTUC FairPrice Tampines Street 11,521107,Authorised Retailer (FairPrice),3,10,13,matched,1,0
NTUC FairPrice Senja Road,670628,Authorised Retailer (FairPrice),3,10,13,matched,1,0
NTUC FairPrice Seletar Mall,797653,Authorised Retailer (FairPrice),3,18,21,matched,2,1
NTUC FairPrice New Upper Changi Road,461057,Authorised Retailer (FairPrice),3,27,30,matched,1,0
NTUC FairPrice Kallang Wave Mall,397628,Authorised Retailer (FairPrice),3,14,17,matched,1,0
NTUC FairPrice Kallang Bahru,330071,Authorised Retailer (FairPrice),3,14,17,matched,1,0
