outlet_name,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,n_outlets_at_postal,shared_postal
NTUC Foodfare - Seletar Mall,797653,Authorised Retailer (FairPrice),1,1,2,matched,2,1
NTUC FairPrice Zhongshan Mall,329984,Authorised Retailer (FairPrice),1,5,6,matched,1,0
NTUC FairPrice Wisteria Mall,768698,Authorised Retailer (FairPrice),1,13,14,matched,1,0
NTUC FairPrice VivoCity,098585,Authorised Retailer (FairPrice),1,12,13,matched,2,1
NTUC FairPrice Paya Lebar Quarter,409057,Authorised Retailer (FairPrice),1,6,7,matched,1,0
NTUC FairPrice Hougang Street 21,530202,Authorised Retailer (FairPrice),1,22,23,matched,1,0
NTUC FairPrice Compassvale Link,543277,Authorised Retailer (FairPrice),1,11,12,matched,2,1
NTUC FairPrice Canberra Plaza,750133,Authorised Retailer (FairPrice),1,7,8,matched,1,0
NTUC FairPrice Bukit Timah Plaza,588996,Authorised Retailer (FairPrice),1,15,16,matched,1,0
NTUC FairPrice Bishan Street 13,570510,Authorised Retailer (FairPrice),1,13,14,matched,1,0
NTUC FairPrice Bedok North Street 1,460212,Authorised Retailer (FairPrice),1,43,44,matched,1,0
NTUC FairPrice Anchorvale Village,540339,Authorised Retailer (FairPrice),1,1,2,matched,1,0
Ichido Kopitiam City,543277,Authorised Retailer (FairPrice),1,8,9,matched,2,1
Hin Teck Leong Trading Company - Whampoa Drive,320074,Authorised Retailer,1,15,16,matched,1,0
Hao Mart Geylang Lorong 24,389407,,1,6,7,scraped,1,0
Goh Geok Kwee Agency - Redhill Lane,150084,Authorised Retailer,1,13,14,matched,2,1
Giant VivoCity,098585,Authorised Retailer (FairPrice),1,3,4,matched,2,1
Giant Sembawang Shopping Centre,758459,,1,13,14,scraped,1,0
Giant Greenridge Shopping Centre,671524,Authorised Retailer (FairPrice),1,11,12,matched,2,1
Giant Edgefield Plains,820671,,1,10,11,scraped,1,0
Giant Buangkok Crescent,530982,Authorised Retailer,1,17,18,matched,1,0
Clifford Gift Shop - Ang Mo Kio Avenue 10,560555,Authorised Retailer,1,0,1,matched,2,1
Chua Seng Dept Store,469526,,1,3,4,scraped,1,0
Chop Yeo Thong Heng (International Plaza),079903,,1,3,4,scraped,1,0
Choice Decor Bedok North,460416,,1,12,13,scraped,1,0
China Square Betting Centre - Lottery Lobby (Public),048441,,1,2,3,scraped,2,1
Cheers Bedok North Street 3,460539,,1,18,19,scraped,1,0
Bukit Merah Betting Centre - Lottery Lobby (Public),150169,Betting Centre,1,2,3,matched,3,1
7-Eleven Store Upper Thomson Road,787113,Authorised Retailer (7-Eleven),1,12,13,matched,1,0
7-Eleven Store Clementi Street 11,120109,Authorised Retailer (7-Eleven),1,7,8,matched,1,0
7-Eleven Erskine Rd,069320,,1,8,9,scraped,1,0
7-Eleven Balestier Rd,329722,,1,1,2,scraped,1,0
Xie Sheng Departmental Service Company - City Plaza,409286,Authorised Retailer,0,1,1,matched,1,0
Thiam Hoon Traders,150123,,0,7,7,scraped,1,0
The Little Plaza,610399,Authorised Retailer,0,1,1,matched,2,1
Tampines Rovers Football Club,520824,Authorised Retailer,0,2,2,matched,2,1
STC Racecourse - Kranji 1,738078,,0,1,1,scraped,2,1
Singapore Pools Woodlands Centre,731001,,0,2,2,scraped,1,0
Singapore Pools Upp Serangoon Branch,534766,,0,3,3,scraped,1,0
Singapore Pools Rochor Centre Branch,180001,,0,1,1,scraped,1,0
Singapore Pools Commonwealth Crescent Branch,140116,Branch,0,18,18,matched,1,0
Sheng Siong Woodlands Drive 16,730573,Authorised Retailer,0,6,6,matched,1,0
Sheng Siong Tampines Avenue 9,521602,Authorised Retailer,0,7,7,matched,1,0
Sheng Siong Senja Close,670643,Authorised Retailer,0,2,2,matched,1,0
