outlet_name,postal_code,onemap_address,planning_area
Sheng Siong Junction 9,768897,18 YISHUN AVENUE 9 JUNCTION NINE SINGAPORE 768897,YISHUN
Prime Chai Chee Road,461025,25A CHAI CHEE ROAD SINGAPORE 461025,BEDOK
Overseas Emporium (Private) Limited,59108,1 PARK ROAD PEOPLE'S PARK COMPLEX SINGAPORE 059108,OUTRAM
OCN (Singapore) Pte Ltd,120501,501 WEST COAST DRIVE SINGAPORE 120501,CLEMENTI
NTUC FairPrice Xpress Macpherson Road,348501,110 MACPHERSON ROAD ESSO MACPHERSON SINGAPORE 348501,GEYLANG
NTUC FairPrice Marsiling MRT Station,739044,71 WOODLANDS AVENUE 3 MARSILING MRT STATION (NS8) SINGAPORE 739044,WOODLANDS
NTUC FairPrice Lorong 4 Toa Payoh,310192,192 LORONG 4 TOA PAYOH SINGAPORE 310192,TOA PAYOH
NTUC FairPrice Joo Koon,629117,1 JOO KOON CIRCLE FAIRPRICE HUB SINGAPORE 629117,PIONEER
NTUC FairPrice Jem,608549,50 JURONG GATEWAY ROAD JEM SINGAPORE 608549,JURONG EAST
NTUC FairPrice Boon Lay Place,640221,221 BOON LAY PLACE BOON LAY SHOPPING CENTRE SINGAPORE 640221,JURONG WEST
Nel's Store,470741,741 BEDOK RESERVOIR ROAD RESERVOIR VILLAGE SINGAPORE 470741,BEDOK
Nalayanee Trading Enterprise,534839,127 UPPER PAYA LEBAR ROAD SINGAPORE 534839,TOA PAYOH
Lucky Hill,90112,112 BUKIT PURMEI ROAD BUKIT PURMEI VILLE SINGAPORE 090112,BUKIT MERAH
Kim Chwee Trading,600256,256 JURONG EAST STREET 24 SINGAPORE 600256,JURONG EAST
Hin Teck Leong Trading Company - Rowell Road,200640,640 ROWELL ROAD SINGAPORE 200640,ROCHOR
NTUC FairPrice Parkway Parade,449269,80 MARINE PARADE ROAD MARINE PARADE POST OFFICE SINGAPORE 449269,MARINE PARADE
Everstream Trading,650283,283 BUKIT BATOK EAST AVENUE 3 GOMBAK PLACE SINGAPORE 650283,BUKIT BATOK
Dawn Florist,538719,21 HOUGANG STREET 51 HOUGANG GREEN SHOPPING MALL SINGAPORE 538719,HOUGANG
Singapore Pools Northpoint City Branch,769098,930 YISHUN AVENUE 2 NORTHPOINT CITY (NORTH WING) SINGAPORE 769098,YISHUN
Chuan Hao Departmental Store,131019,19A DOVER CRESCENT MULTI STOREY CAR PARK SINGAPORE 131019,QUEENSTOWN
Cheers New Upper Changi Road,461059,59 NEW UPPER CHANGI ROAD SINGAPORE 461059,BEDOK
Cheers Haig Road,430012,12 HAIG ROAD HAIG VIEW SINGAPORE 430012,GEYLANG
Afro Asia Co Pte Ltd,760604,604 YISHUN STREET 61 NEE SOON CENTRAL MEADOWS SINGAPORE 760604,YISHUN
7-Eleven Store Sixth Avenue,276472,6 SIXTH AVENUE SINGAPORE 276472,BUKIT TIMAH
7-Eleven Store Choa Chu Kang Drive,682689,689B CHOA CHU KANG DRIVE SINGAPORE 682689,CHOA CHU KANG
7-Eleven Store Changi Road,419701,38 CHANGI ROAD SINGAPORE 419701,GEYLANG
Balestier Khalsa Football Club,310070,70 LORONG 4 TOA PAYOH TOA PAYOH VISTA SINGAPORE 310070,TOA PAYOH
U Stars Keat Hong Link,680817,817 KEAT HONG LINK KEAT HONG MIRAGE SINGAPORE 680817,CHOA CHU KANG
Goh Geok Kwee Agency - Redhill Lane,150084,84 REDHILL LANE SINGAPORE 150084,BUKIT MERAH
Tan Ah Leck Trading - Bukit Batok Street 11,650151,151 BUKIT BATOK STREET 11 SINGAPORE 650151,BUKIT BATOK
Springdale Garments Co,560408,408 ANG MO KIO AVENUE 10 TECK GHEE SQUARE SINGAPORE 560408,ANG MO KIO
Singapore Pools Yishun N2 Branch,760256,256 YISHUN RING ROAD YISHUN SUNSHINE SINGAPORE 760256,YISHUN
Singapore Pools Teban Gardens Branch,600037,37 TEBAN GARDENS ROAD SINGAPORE 600037,JURONG EAST
Singapore Pools Jalan Tiga Branch,390043,43 JALAN TIGA PINE GREEN SINGAPORE 390043,GEYLANG
Singapore Pools Ghim Moh Branch,270021,21 GHIM MOH ROAD SINGAPORE 270021,QUEENSTOWN
Singapore Pools Geylang Bahru Branch,330057,57 GEYLANG BAHRU GEYLANG BAHRU VILLE SINGAPORE 330057,KALLANG
Singapore Pools Circuit Road 88 Branch,370088,88 CIRCUIT ROAD SINGAPORE 370088,GEYLANG
Singapore Pools Bukit Gombak Branch,650374,374 BUKIT BATOK STREET 31 SINGAPORE 650374,BUKIT BATOK
Singapore Pools Bedok North Branch,460509,509 BEDOK NORTH STREET 3 STAR KIDZ POWERCLUB SINGAPORE 460509,BEDOK
Sheng Siong Tanglin Halt Road,141088,88 TANGLIN HALT ROAD CARE CORNER FAMILY SERVICE CENTRE (QUEENSTOWN) SINGAPORE 141088,QUEENSTOWN
Sheng Moh Fruits & Provision Store,128632,29A JALAN MAS PUTEH PASIR PANJANG GARDENS SINGAPORE 128632,CLEMENTI
Prime Keat Hong,680253,253 CHOA CHU KANG AVENUE 1 CHOA CHU KANG MARKET SINGAPORE 680253,CHOA CHU KANG
NTUC FairPrice Yung Kuang Road,610063,63 YUNG KUANG ROAD SINGAPORE 610063,JURONG WEST
NTUC FairPrice Yew Tee Point,689578,21 CHOA CHU KANG NORTH 6 YEWTEE POINT SINGAPORE 689578,CHOA CHU KANG
NTUC FairPrice Woodlands Civic Centre,730900,900 SOUTH WOODLANDS DRIVE KINDERLAND KINDERGARTEN (WOODLANDS) SINGAPORE 730900,WOODLANDS
NTUC FairPrice Thomson Plaza,574408,301 UPPER THOMSON ROAD THOMSON PLAZA SINGAPORE 574408,BISHAN
NTUC FairPrice Tampines Street 83,521866,866A TAMPINES STREET 83 TAMPINES CENTRAL COMMUNITY COMPLEX SINGAPORE 521866,TAMPINES
NTUC FairPrice Tampines Street 44,520475,475 TAMPINES STREET 44 SINGAPORE 520475,TAMPINES
NTUC FairPrice Rivervale Mall,545082,11 RIVERVALE CRESCENT SINGAPORE 545082,SENGKANG
NTUC FairPrice Punggol Oasis Terraces,820681,681 PUNGGOL DRIVE NKF DIALYSIS CENTRE SINGAPORE 820681,PUNGGOL
NTUC FairPrice Marine Parade Central,449411,6 MARINE PARADE CENTRAL SINGAPORE 449411,MARINE PARADE
NTUC FairPrice Limbang Shopping Centre,680533,533 CHOA CHU KANG STREET 51 LIMBANG SHOPPING CENTRE SINGAPORE 680533,CHOA CHU KANG
NTUC FairPrice E!Hub @ Downtown East,519599,1 PASIR RIS CLOSE ACES MONTESSORI KIDZ KINDERGARTEN SINGAPORE 519599,PASIR RIS
NTUC FairPrice Clementi Avenue 2,120352,352 CLEMENTI AVENUE 2 CLEMENTI AVENUE 2 SHOPPING CENTRE SINGAPORE 120352,CLEMENTI
Ng Nam Thye Trading - Ang Mo Kio Avenue 3,569922,51 ANG MO KIO AVENUE 3 51 @ AMK SINGAPORE 569922,ANG MO KIO
Lim Heng Ee Trading Pte. Ltd.,380016,16 UPPER BOON KENG ROAD BOON KENG VILLE SINGAPORE 380016,KALLANG
Golden Lagoon Trading,730136,136 MARSILING ROAD SINGAPORE 730136,WOODLANDS
Goh Geok Kwee Agency - Bukit Merah,150124,124 BUKIT MERAH LANE 1 SINGAPORE 150124,BUKIT MERAH
Giant Beauty World Centre,588177,144 UPPER BUKIT TIMAH ROAD BEAUTY WORLD CENTRE SINGAPORE 588177,BUKIT TIMAH
Chua Hong Kim Trading,550237,237 SERANGOON AVENUE 3 SINGAPORE 550237,SERANGOON
Chop Yeo Thong Heng,370076,76 CIRCUIT ROAD MACPHERSON BLOSSOM SINGAPORE 370076,GEYLANG
Chong Hoe Tong,310021,21 LORONG 7 TOA PAYOH KIM KEAT PALM SINGAPORE 310021,TOA PAYOH
Cheng Chew Wah Agency - Bedok South Road,460017,17 BEDOK SOUTH ROAD SINGAPORE 460017,BEDOK
Cheers Hougang Avenue 3,530023,23 HOUGANG AVENUE 3 HOUGANG VIEW SINGAPORE 530023,HOUGANG
7-Eleven Store Plaza Singapura,238839,68 ORCHARD ROAD GOLDEN VILLAGE (GV PLAZA) SINGAPORE 238839,ORCHARD
7-Eleven Store Foch Road,209264,27 FOCH ROAD HOA NAM BUILDING SINGAPORE 209264,KALLANG
7-Eleven Store Bedok North Street 2,460123,123 BEDOK NORTH STREET 2 SINGAPORE 460123,BEDOK
Tan Ah Leck Trading - Jurong East Street 31,600352,352 JURONG EAST STREET 31 YUHUA PLACE SINGAPORE 600352,JURONG EAST
Superbowl Jurong Pte Ltd,618642,3 YUAN CHING ROAD SINGAPORE 618642,JURONG WEST
Singapore Pools Woodlands N8 Branch,730883,883 WOODLANDS STREET 82 WOODLANDS NORTH PLAZA SINGAPORE 730883,WOODLANDS
Singapore Pools Upper Boon Keng Branch,380018,18 UPPER BOON KENG ROAD BOON KENG VILLE SINGAPORE 380018,KALLANG
Singapore Pools Telok Blangah Branch,90006,6 TELOK BLANGAH CRESCENT MOUNT FABER GREEN SINGAPORE 090006,BUKIT MERAH
Singapore Pools Peace Centre Branch,228149,1 SOPHIA ROAD ONE SOPHIA SINGAPORE 228149,ROCHOR
Singapore Pools Pasir Ris N7 Branch,510735,735 PASIR RIS STREET 72 PASIR RIS WEST PLAZA SINGAPORE 510735,PASIR RIS
Singapore Pools Canberra Branch,750505,505 CANBERRA LINK MONTREAL SPRING SINGAPORE 750505,SEMBAWANG
Singapore Pools Ang Mo Kio N2A Branch,561226,226A ANG MO KIO AVENUE 1 KEBUN BARU MALL SINGAPORE 561226,ANG MO KIO
Prime Yishun Avenue 6,760461,461 YISHUN AVENUE 6 BLOSSOM SPRING @ YISHUN SINGAPORE 760461,YISHUN
Papillon Florist Pte Ltd,160133,133 JALAN BUKIT MERAH SINGAPORE 160133,BUKIT MERAH
Prime Century Square,529509,2 TAMPINES CENTRAL 5 CENTURY SQUARE SINGAPORE 529509,TAMPINES
NTUC FairPrice Tampines Street 11,521107,107 TAMPINES STREET 11 SINGAPORE 521107,TAMPINES
NTUC FairPrice Senja Road,670628,628 SENJA ROAD SENJA CENTRE SINGAPORE 670628,BUKIT PANJANG
NTUC FairPrice Seletar Mall,797653,33 SENGKANG WEST AVENUE SHAW THEATRES SELETAR SINGAPORE 797653,SENGKANG
NTUC FairPrice New Upper Changi Road,461057,57 NEW UPPER CHANGI ROAD SINGAPORE 461057,BEDOK
NTUC FairPrice Kallang Wave Mall,397628,1 STADIUM PLACE KALLANG WAVE MALL SINGAPORE 397628,KALLANG
NTUC FairPrice Kallang Bahru,330071,71 KALLANG BAHRU SINGAPORE 330071,KALLANG
NTUC FairPrice Hougang Mall,538766,90 HOUGANG AVENUE 10 CHENG SAN LIBRARY SINGAPORE 538766,HOUGANG
NTUC FairPrice Hillion Mall,678278,17 PETIR ROAD BUKIT PANJANG INTEGRATED TRANSPORT HUB SINGAPORE 678278,BUKIT PANJANG
NTUC FairPrice Eastpoint Mall,528833,3 SIMEI STREET 6 EASTPOINT MALL SINGAPORE 528833,TAMPINES
NTUC FairPrice Bukit Panjang Plaza,677743,1 JELEBU ROAD BUKIT PANJANG LIBRARY SINGAPORE 677743,BUKIT PANJANG
Kwek Lee Eng Agency,199018,200 JALAN SULTAN HOPE CHURCH SINGAPORE SINGAPORE 199018,KALLANG
Hougang United Football Club,538856,100 HOUGANG AVENUE 2 HOUGANG STADIUM SINGAPORE 538856,HOUGANG
Giant Pioneer Mall,640638,638 JURONG WEST STREET 61 PIONEER MALL SINGAPORE 640638,JURONG WEST
Giant Paya Lebar Square,409051,60 PAYA LEBAR ROAD PAYA LEBAR SQUARE SINGAPORE 409051,GEYLANG
Giant Compassvale Bow,540266,266 COMPASSVALE BOW SINGAPORE 540266,SENGKANG
Everbright  Services,100108,108 DEPOT ROAD DEPOT HEIGHTS SHOPPING CENTRE SINGAPORE 100108,BUKIT MERAH
7-Eleven Store Sin Ming,574369,244 UPPER THOMSON ROAD THOMSON GARDEN ESTATE SINGAPORE 574369,BISHAN
7-Eleven Store Circular Road,49413,58 CIRCULAR ROAD BOAT QUAY CONSERVATION AREA SINGAPORE 049413,SINGAPORE RIVER
Tampines Trading - 824,520824,824 TAMPINES STREET 81 SINGAPORE 520824,TAMPINES
Singapore Pools Yishun N4 Branch,760415,415 YISHUN AVENUE 11 SINGAPORE 760415,YISHUN
Singapore Pools Toa Payoh Lorong 4 Branch,310085,85 LORONG 4 TOA PAYOH SINGAPORE 310085,TOA PAYOH
Singapore Pools Lorong Lew Lian Branch,531002,2 LORONG LEW LIAN LEW LIAN GARDENS SINGAPORE 531002,SERANGOON
Singapore Pools Lengkok Bahru Branch,152063,63B LENGKOK BAHRU LENGKOK BAHRU HEIGHTS SINGAPORE 152063,BUKIT MERAH
Singapore Pools Jalan Batu Branch,431007,7 JALAN BATU DI TANJONG RHU SINGAPORE 431007,KALLANG
Singapore Pools Geylang Rd Branch,389233,149 GEYLANG ROAD GEYLANG CONSERVATION AREA SINGAPORE 389233,KALLANG
Singapore Pools Fajar Road Branch,670445,445 FAJAR ROAD FAJAR SHOPPING CENTRE SINGAPORE 670445,BUKIT PANJANG
Singapore Pools Empress Road Branch,260008,8 EMPRESS ROAD FARRER GARDENS SINGAPORE 260008,BUKIT TIMAH
Singapore Pools Chai Chee Branch,461036,36 CHAI CHEE AVENUE ANSAR GARDEN SINGAPORE 461036,BEDOK
Singapore Pools Bukit Batok N3 Branch,650324,324 BUKIT BATOK STREET 33 SINGAPORE 650324,BUKIT BATOK
Singapore Pools Bishan N1 Branch,570152,152 BISHAN STREET 11 BISHAN GREEN SINGAPORE 570152,BISHAN
Singapore Pools Balestier Road Branch,320002,2 BALESTIER ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 320002,NOVENA
Sheng Siong Sengkang West Ave,790455,455 SENGKANG WEST AVENUE FERNVALE WOODS SINGAPORE 790455,SENGKANG
Sheng Siong Marsiling Mall,738623,4 WOODLANDS STREET 12 MARSILING MALL HAWKER CENTRE SINGAPORE 738623,WOODLANDS
Seah Koon Huat (Boon Tiong Rd),161011,11A BOON TIONG ROAD TIONG BAHRU VIEW SINGAPORE 161011,BUKIT MERAH
Seah Geok Eng Agency - Upper Serangoon View,537476,476D UPPER SERANGOON VIEW HOUGANG CAPEVIEW SINGAPORE 537476,HOUGANG
Prime Woodlands,730678,678 WOODLANDS AVENUE 6 ADMIRALTY PLACE SINGAPORE 730678,WOODLANDS
Prime Joo Seng,360001,1 UPPER ALJUNIED LANE SINGAPORE 360001,TOA PAYOH
Prime Compassvale Street,540263,263 COMPASSVALE STREET COMPASSVALE NORTH GATE SINGAPORE 540263,SENGKANG
Prime Admiralty Place,731678,678A WOODLANDS AVENUE 6 MULTI STOREY CAR PARK SINGAPORE 731678,WOODLANDS
Precise Optics,179098,111 NORTH BRIDGE ROAD CONSULATE OF NEPAL SINGAPORE 179098,DOWNTOWN CORE
NTUC FP Shaw Plaza,329783,360 BALESTIER ROAD SINGAPORE 329783,NOVENA
NTUC FP Jurong Point,648886,1 JURONG WEST CENTRAL 2 GOLDEN VILLAGE (GV JURONG POINT) SINGAPORE 648886,JURONG WEST
NTUC FairPrice Tiong Bahru Plaza,168732,302 TIONG BAHRU ROAD GOLDEN VILLAGE (GV TIONG BAHRU) SINGAPORE 168732,BUKIT MERAH
NTUC FairPrice The Woodleigh Mall,367803,11 BIDADARI PARK DRIVE BIDADARI COMMUNITY CENTRE SINGAPORE 367803,TOA PAYOH
NTUC FairPrice Telok Blangah Street 32,101078,78A TELOK BLANGAH STREET 32 MULTI STOREY CAR PARK SINGAPORE 101078,BUKIT MERAH
NTUC FairPrice Tai Seng,539775,18 TAI SENG STREET 18 TAI SENG SINGAPORE 539775,HOUGANG
NTUC FairPrice Sengkang East Ave,540279,279 SENGKANG EAST AVENUE COMPASSVALE ANCILLA SINGAPORE 540279,SENGKANG
NTUC FairPrice Punggol Plaza,820168,168 PUNGGOL FIELD PUNGGOL PLAZA SINGAPORE 820168,PUNGGOL
NTUC FairPrice Le Quest,657991,4 BUKIT BATOK STREET 41 LE QUEST SINGAPORE 657991,BUKIT BATOK
NTUC FairPrice Dawson Place,142057,57 DAWSON ROAD DAWSON PLACE SINGAPORE 142057,QUEENSTOWN
Lee Ah Lan Trading,600061,61 TEBAN GARDENS ROAD MULTI STOREY CAR PARK-TEBAN PLACE SINGAPORE 600061,JURONG EAST
Holland Drive Betting Centre – Lottery Lobby (Public),270047,47 HOLLAND DRIVE SINGAPORE 270047,QUEENSTOWN
Hock Soon Ann,460073,73 BEDOK SOUTH AVENUE 3 SIGLAP LUCKY VALLEY SINGAPORE 460073,BEDOK
Gerk Chwee Trading,557256,4 KENSINGTON PARK ROAD SERANGOON GARDEN ESTATE SINGAPORE 557256,SERANGOON
B.H. Mini Mart,350137,137 POTONG PASIR AVENUE 3 SINGAPORE 350137,TOA PAYOH
A.P. Mini Mart - Lorong 8 Toa Payoh,310234,234 LORONG 8 TOA PAYOH TOA PAYOH EIGHT SINGAPORE 310234,TOA PAYOH
A.P. Mini Mart - Bedok Reservoir Road,470121,121 BEDOK RESERVOIR ROAD EUNOS VISTA SINGAPORE 470121,BEDOK
7-Eleven Store Bukit Batok West Avenue 6,650132,132 BUKIT BATOK WEST AVENUE 6 SINGAPORE 650132,BUKIT BATOK
7-Eleven Jalan Leban,577549,6 JALAN LEBAN SEMBAWANG HILLS ESTATE SINGAPORE 577549,ANG MO KIO
Warriors Football Club (S),689236,1 CHOA CHU KANG STREET 53 CHOA CHU KANG SPORTS CENTRE SINGAPORE 689236,CHOA CHU KANG
Uni-Foto Pte Ltd,238875,400 ORCHARD ROAD BETHANY CHURCH SINGAPORE SINGAPORE 238875,ORCHARD
Tuas View,639591,71 ACUMED MEDICAL GROUP TUAS AMENITY CENTRE SINGAPORE 639591,TUAS
Singapore Racecourse - MRT Plaza (Public),738078,1 TURF CLUB AVENUE BUKIT TIMAH SADDLE CLUB SINGAPORE 738078,SUNGEI KADUT
Singapore Pools Yishun N7 Branch,760761,761 YISHUN STREET 72 SINGAPORE 760761,YISHUN
Singapore Pools Upp Thomson Branch,574424,200 UPPER THOMSON ROAD THOMSON IMPERIAL COURT SINGAPORE 574424,BISHAN
Singapore Pools Great World City Branch,237994,1 KIM SENG PROMENADE BRIGHTON MONTESSORI CENTRES PTE. LTD. SINGAPORE 237994,SINGAPORE RIVER
Singapore Pools Everton Park Branch,80007,7 EVERTON PARK SINGAPORE 080007,BUKIT MERAH
Singapore Pools Changi Road Branch,419799,324 CHANGI ROAD SINGAPORE 419799,BEDOK
