outlet_name,postal_code,onemap_address,planning_area
Sheng Siong Clementi Avenue 6,121209,209A CLEMENTI AVENUE 6 CLEMENTI NORTHARC SINGAPORE 121209,CLEMENTI
Sheng Siong Canberra Street,750105,105 CANBERRA STREET EASTBROOK @ CANBERRA SINGAPORE 750105,SEMBAWANG
Shell Station Tuas South Avenue 5,637365,121 TUAS SOUTH AVENUE 5 SINGAPORE 637365,TUAS
Seng Yeok Chan Agency,560338,338 ANG MO KIO AVENUE 1 SINGAPORE 560338,ANG MO KIO
Rangoon Betting Centre - Lottery Lobby (Public),210677,677 RANGOON ROAD SINGAPORE 210677,KALLANG
Prime Bidadari,340106,106 BIDADARI PARK DRIVE ALKAFF VISTA SINGAPORE 340106,TOA PAYOH
Poon Long Heng,760716,716 YISHUN STREET 71 AAVC-ANIMAL & AVIAN VETERINARY CLINIC SINGAPORE 760716,YISHUN
Hao Mart Punggol Walk,823308,308C PUNGGOL WALK WATERWAY TERRACES I SINGAPORE 823308,PUNGGOL
NTUC FairPrice The Woodgrove,739065,30 WOODLANDS AVENUE 1 THE WOODGROVE SINGAPORE 739065,WOODLANDS
NTUC FairPrice Tampines North Drive 2,520633,633 TAMPINES NORTH DRIVE 2 TAMPINES GREENCOURT SINGAPORE 520633,TAMPINES
NTUC FairPrice Sengkang East Drive,542170,170B SENGKANG EAST DRIVE RIVERVALE SHORES SINGAPORE 542170,SENGKANG
NTUC FairPrice Killiney Road,239571,131 KILLINEY ROAD CGH BUILDING SINGAPORE 239571,RIVER VALLEY
Majestic Betting Centre - Lottery Lobby (Public),59810,80 EU TONG SEN STREET THE MAJESTIC SINGAPORE 059810,OUTRAM
Lee Wah TV & Electric Co,389561,623A GEYLANG ROAD GEYLANG CONSERVATION AREA SINGAPORE 389561,GEYLANG
Keppel Credit Union Co-operative Ltd,150001,1 JALAN BUKIT MERAH BRICKWORKS ESTATE SINGAPORE 150001,BUKIT MERAH
Hao Mart Westgate,608532,3 GATEWAY DRIVE MY FIRST SKOOL SINGAPORE 608532,JURONG EAST
Giant Tanjong Katong,400845,845 GEYLANG ROAD TANJONG KATONG COMPLEX SINGAPORE 400845,GEYLANG
Giant Plantation Plaza,690127,127 PLANTATION CRESCENT PLANTATION PLAZA SINGAPORE 690127,TENGAH
Geylang International FC,469642,1 BEDOK NORTH STREET 2 BEDOK STADIUM SINGAPORE 469642,BEDOK
Fortune Supermarket Sembawang Drive,750463,463 SEMBAWANG DRIVE SEMBAWANG RIVERLODGE SINGAPORE 750463,SEMBAWANG
Food Republic i12 Katong,428802,112 EAST COAST ROAD 112 KATONG SINGAPORE 428802,MARINE PARADE
Cold Storage Aperia Mall,339511,12 KALLANG AVENUE JOSIAH BABIES (APERIA) SINGAPORE 339511,KALLANG
Choice Decor Co-Operative Society Ltd,570022,22 SIN MING ROAD SINGAPORE 570022,BISHAN
Cheers Woodlands Centre,731005,manual,WOODLANDS
Cheers Northshore Plaza II,820418,418 NORTHSHORE DRIVE NORTHSHORE PLAZA II SINGAPORE 820418,PUNGGOL
Cheers Maude Rd,208358,87 MAUDE ROAD DESKER ROAD CONSERVATION AREA SINGAPORE 208358,KALLANG
Bedok Betting Centre - Lottery Lobby (Public),460215,215 BEDOK NORTH STREET 1 SINGAPORE 460215,BEDOK
ACE Signature Geylang Road,389409,450 GEYLANG ROAD GEYLANG CONSERVATION AREA SINGAPORE 389409,GEYLANG
7-Eleven Store Tai Thong Crescent,347857,27 TAI THONG CRESCENT SENNETT ESTATE SINGAPORE 347857,TOA PAYOH
7-Eleven Store Esplanade MRT Station,189562,90 BRAS BASAH ROAD ESPLANADE MRT STATION (CC3) SINGAPORE 189562,DOWNTOWN CORE
7-Eleven Store Bedok Road,469539,351 BEDOK ROAD SINGAPORE 469539,BEDOK
7-Eleven Kim Tian,169247,8A KIM TIAN ROAD KAI FOOK MANSION SINGAPORE 169247,BUKIT MERAH
108 LIV@Changi/ 933 Upper Changi Road North #01-01,506785,933 UPPER CHANGI ROAD NORTH LIV@CHANGI SINGAPORE 506785,PASIR RIS
109 New Tech Park/151 Lorong Chuan #01-22 ACE Sign,556741,151 LORONG CHUAN MINDCHAMPS PRESCHOOL @ SERANGOON PTE. LIMITED SINGAPORE 556741,SERANGOON
212 SingPost Centre/ 10 Eunos Road 8 #B1-101 to 10,408600,10 EUNOS ROAD 8 GENERAL POST OFFICE SINGAPORE 408600,GEYLANG
254 11 Bukit Batok West Avenue 3 Shell Station Buk,659166,11 BUKIT BATOK WEST AVENUE 3 SHELL BUKIT BATOK ROAD SINGAPORE 659166,BUKIT BATOK
258 Block 212 Bidadari Park Drive #03-10 Sheng Sio,360212,212 BIDADARI PARK DRIVE WOODLEIGH HILLSIDE SINGAPORE 360212,TOA PAYOH
290 Block 537 Bedok North Street 3 #01-573 Tan Wee,460537,537 BEDOK NORTH STREET 3 SINGAPORE 460537,BEDOK
291 33 Jalan Buroh Smart Energy Jalan Buroh 619487,619487,33 JALAN BUROH SMART ENERGY JALAN BUROH SINGAPORE 619487,BOON LAY
292 50 Old Toh Tuck Road Cnergy Old Toh Tuck Road,597657,50 OLD TOH TUCK ROAD CNERGY CNG STATION SINGAPORE 597657,CLEMENTI
293 Block 215C Compassvale Drive #01-01 U Stars Co,543215,215C COMPASSVALE DRIVE COMPASSVALE MAST SINGAPORE 543215,SENGKANG
Premier Security Co-operative Ltd,560555,555 ANG MO KIO AVENUE 10 CHENG SAN PLACE SINGAPORE 560555,ANG MO KIO
Giant Greenridge Shopping Centre,671524,524A JELAPANG ROAD AMAZING STAR MONTESSORI HOUSE (GREENRIDGE) SINGAPORE 671524,BUKIT PANJANG
Tampines Rovers Football Club,520824,824 TAMPINES STREET 81 SINGAPORE 520824,TAMPINES
