outlet_name,postal_code,outlet_type,planning_area,region,neighborhood_type,pa_population,n_outlets_at_postal,shared_postal,latitude,longitude,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,open_hours_daily,g1_wins_hist,g2_wins_hist,combined_wins_hist,first_draw,last_draw,draws_i,hdb_proxy,com_area_proxy,volume_proxy,is_closed,exposure,p_share,expected_wins,win_rate_per_draw,win_share,std_residual,exposure_hdb,expected_wins_hdb,std_residual_hdb
NTUC FairPrice Marine Parade Central,449411,Authorised Retailer (FairPrice),MARINE PARADE,CENTRAL REGION,residential,46220,1,0,1.30134714783304,103.907183612906,197153,91164,8964,11297,25949,28,0.6783,1029550,152787,28577,81718,427655,62,0.862,2289804,185946,32444,268334,491937,78,0.9194,11.0,13,50,63,1572,4042,2611,62.0,152787.0,143.76473667464742,1,375369.7274575044,0.0014558913139632197,26.852459394737625,0.024128686327077747,0.0034157449577098243,6.975682735034466,161882.0,22.93457407667179,8.366126448591334
NTUC FairPrice Marsiling MRT Station,739044,Authorised Retailer (FairPrice),WOODLANDS,NORTH REGION,residential,255130,1,0,1.43252114855026,103.774074641403,501649,0,41197,74148,28321,88,0.9621,1230180,376934,51197,294024,373210,202,0.7573,1861475,912656,79197,524943,1656134,285,0.6663,11.0,6,38,44,1727,4181,2456,202.0,376934.0,403.71813867489743,0,991531.7485855481,0.003845708256928865,70.93024309079598,0.017915309446254073,0.0023855996530036867,-3.1976030502969537,496112.0,70.28648901252637,-3.1354267413561585
NTUC FairPrice NEX,556083,Authorised Retailer (FairPrice),SERANGOON,NORTH-EAST REGION,residential,116900,1,0,1.35067551435975,103.871861623874,492073,19983,83592,60658,17617,81,0.8963,1931025,19983,109843,183555,129935,171,0.9637,4178321,59759,146503,508814,331179,219,0.9697,13.5,20,99,119,2609,4160,1574,171.0,19983.0,181.69400363230824,0,285986.36171725317,0.001109213208950711,20.458328425886915,0.07560355781448538,0.006451962697896335,21.786368838639813,269154.0,38.1322960615295,13.095697489401111
NTUC FairPrice New Upper Changi Road,461057,Authorised Retailer (FairPrice),BEDOK,EAST REGION,residential,276990,1,0,1.32424554153984,103.941568704132,582172,0,30407,32812,25031,52,0.9752,2088361,0,91806,113196,162684,198,0.9789,3640692,487933,308732,428720,290273,298,0.8553,11.0,14,52,66,1459,4179,2724,198.0,0.0,198.0,0,539352.0,0.002091905219121825,38.58309986148294,0.024229074889867842,0.0035783994795055302,4.4138725794156,539352.0,76.41250044724605,-1.1911674776513612
NTUC FairPrice Parkway Parade,449269,Authorised Retailer (FairPrice),MARINE PARADE,CENTRAL REGION,residential,46220,2,1,1.301041960873,103.905505005847,258680,110610,14136,5616,14876,23,0.6931,1107774,155182,28577,80470,437881,46,0.8688,2433852,188743,32444,220720,489596,79,0.9228,12.0,4,24,28,3679,4169,504,46.0,155182.0,129.0464330515367,0,65039.40225797449,0.0002522587568638304,4.652660511596488,0.05555555555555555,0.0015181088700932553,10.823973391484694,23184.0,3.2845848543603293,13.637277149679932
NTUC FairPrice Paya Lebar Quarter,409057,Authorised Retailer (FairPrice),GEYLANG,CENTRAL REGION,residential,110110,1,0,1.31770886898996,103.893414663597,146441,232667,24141,26125,12689,12,0.3931,1079869,517432,70685,145295,52408,110,0.6686,3157525,1079089,72937,500310,111672,308,0.7411,12.0,1,6,7,3732,4178,451,110.0,517432.0,386.9063547751848,0,174494.76600360835,0.0006767871662891579,12.482662495037228,0.015521064301552107,0.0003795272175233138,-1.5518076840402926,49610.0,7.028478891684607,-0.010742179655707198
NTUC FairPrice Punggol Oasis Terraces,820681,Authorised Retailer (FairPrice),PUNGGOL,NORTH-EAST REGION,residential,174450,1,0,1.40287845827053,103.913195741417,385716,13270,0,96478,38924,115,0.9667,1679908,104441,0,232690,317951,362,0.9415,2787838,247405,100260,566256,1009967,559,0.9051,12.0,4,20,24,3391,4156,792,362.0,104441.0,417.89212997857703,0,330970.566943033,0.0012836868248636143,23.6763197977845,0.030303030303030304,0.0013012361743656475,0.06652104116834547,286704.0,40.618685993983945,-2.607556617869919
NTUC FairPrice Punggol Plaza,820168,Authorised Retailer (FairPrice),PUNGGOL,NORTH-EAST REGION,residential,174450,1,0,1.39423719717117,103.913047323223,469070,7910,26592,146896,39395,94,0.9579,1585139,21180,49128,263731,185688,373,0.9724,2903001,1392869,49128,421198,411123,666,0.6738,11.0,6,58,64,2154,4170,2029,373.0,21180.0,384.3345842432212,0,779814.8714294957,0.0030245531665631666,55.78485860409104,0.031542631838344014,0.003469963131641726,1.0999093007790235,756817.0,107.2217760404771,-4.1740832856804495
NTUC FairPrice Rivervale Mall,545082,Authorised Retailer (FairPrice),PUNGGOL,NORTH-EAST REGION,residential,174450,1,0,1.39250410994833,103.904483668323,561801,0,22536,41290,6533,121,0.9807,1891610,19667,64974,261525,181405,473,0.9736,3536697,25597,135244,612691,365685,918,0.9748,0.0,12,34,46,1752,4087,2431,473.0,19667.0,483.5248946322677,1,1175449.0188510427,0.004559041103669078,84.08695411607248,0.018922254216371864,0.002494036000867491,-4.153478168473711,1149863.0,162.90642660409466,-9.159447489882485
NTUC FairPrice Seletar Mall,797653,Authorised Retailer (FairPrice),SENGKANG,NORTH-EAST REGION,residential,249370,2,1,1.39130622992517,103.876085067727,435952,9253,0,76410,37766,127,0.9792,1537848,117340,41450,169108,119444,246,0.9186,2734140,477904,79749,488617,471670,375,0.8427,12.0,3,18,21,3529,4124,654,246.0,117340.0,308.7950951416228,1,201951.99222262134,0.0007832814683964308,14.44684340310377,0.03211009174311927,0.0011385816525699415,1.7241063981620477,160884.0,22.793182785925946,-0.37559696514343843
