outlet_name,merged_from,n_merged,postal_code,outlet_type,planning_area,region,neighborhood_type,pa_population,pa_area_sqkm,pa_population_density,n_outlets_at_postal,shared_postal,merge_group,merge_role,latitude,longitude,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,open_hours_daily,g1_wins_hist,g2_wins_hist,combined_wins_hist,first_draw,last_draw,draws_i,hdb_proxy,com_area_proxy,volume_proxy,is_closed,exposure,p_share,expected_wins,win_rate_per_draw,win_share,std_residual,exposure_hdb,expected_wins_hdb,std_residual_hdb
NTUC FairPrice Kallang Bahru,NTUC FairPrice Kallang Bahru,1,330071,Authorised Retailer (FairPrice),KALLANG,CENTRAL REGION,mixed,101290,8.5847,11798.9,1,0,,unique,1.3209929422065,103.870389998344,391582,31496,0,48192,38657,43,0.9256,1055640,693227,13589,145101,80559,126,0.6028,2263776,1551485,54246,441228,209162,271,0.592,11.0,11,39,50,1245,4167,2938,126.0,693227.0,488.5546308726502,0,1435373.5055038463,0.005685765593202213,104.86826060102162,0.01701837985023826,0.0027109086965950986,-5.357956216464615,370188.0,53.099889291035275,-0.42540185169985223
NTUC FairPrice Kallang Wave Mall,NTUC FairPrice Kallang Wave Mall,1,397628,Authorised Retailer (FairPrice),KALLANG,CENTRAL REGION,mixed,101290,8.5847,11798.9,1,0,,unique,1.30307515150401,103.873149707591,0,58347,0,7166,417064,0,0.0,327424,207116,1961,13118,789008,12,0.6121,1306957,708443,54110,192690,1315270,131,0.6446,0.0,3,14,17,3440,4169,743,12.0,207116.0,120.3207447601144,0,89398.313356765,0.00035412236064353225,6.531432819709309,0.02288021534320323,0.0009217089568423336,4.096217534532726,8916.0,1.2789139921306754,13.901506728684248
NTUC FairPrice Killiney Road,NTUC FairPrice Killiney Road,1,239571,Authorised Retailer (FairPrice),RIVER VALLEY,CENTRAL REGION,mixed,10070,1.4757,6823.9,1,0,,unique,1.29731616717126,103.838541255824,466036,88325,28357,28918,3770,0,0.8241,1070841,383096,154023,496584,292203,2,0.7139,2376194,931287,256456,894400,518244,81,0.7027,11.0,5,32,37,1786,4150,2397,2.0,383096.0,202.35750031200286,0,485050.9282478708,0.0019213715929739578,35.437777660811676,0.01543596161869003,0.002006072435480373,0.26242765775851595,4794.0,0.687652947316561,43.78946771369652
NTUC FairPrice Le Quest,NTUC FairPrice Le Quest,1,657991,Authorised Retailer (FairPrice),TENGAH,WEST REGION,residential,10,7.3635,1.4,1,0,,unique,1.35594171176111,103.741127005764,548193,0,14697,96947,17213,86,0.9869,1497906,0,164545,339273,254387,313,0.9505,3308369,48261,247154,611461,872680,601,0.9523,12.0,2,8,10,3755,4157,428,313.0,0.0,313.0,0,133964.0,0.0005306548428037013,9.787397920671467,0.02336448598130841,0.0005421817393190197,0.067956950953185,133964.0,19.215840516127617,-2.1023511544655977
NTUC FairPrice Limbang Shopping Centre,NTUC FairPrice Limbang Shopping Centre,1,680533,Authorised Retailer (FairPrice),CHOA CHU KANG,WEST REGION,residential,192070,6.1173,31397.9,1,0,,unique,1.39206782341869,103.743102282335,326796,14509,0,55993,46770,91,0.9575,933431,39402,8500,123190,269719,196,0.9555,1825196,112410,8500,341128,398389,386,0.9401,11.0,11,40,51,1991,4175,2192,196.0,39402.0,216.60707036172013,0,474802.6982328905,0.0018807765608189345,34.68904288774443,0.023266423357664233,0.0027651268705270004,2.7693846911656306,429632.0,61.626556333230866,-1.3536568918710536
NTUC FairPrice Lorong 4 Toa Payoh,NTUC FairPrice Lorong 4 Toa Payoh,1,310192,Authorised Retailer (FairPrice),TOA PAYOH,CENTRAL REGION,residential,121850,8.1802,14895.7,1,0,,unique,1.33166814812852,103.850487239503,241673,117007,45015,10695,170562,50,0.6544,1511838,225417,112241,234612,217867,289,0.8478,3261210,478488,149318,853916,367110,466,0.8578,11.0,12,45,57,1290,4162,2893,289.0,225417.0,406.8920861816118,0,1177138.8053234029,0.004662852764153258,86.0016563820427,0.0197027307293467,0.0030904359141184124,-3.1272989190245033,836077.0,119.92716170913401,-5.746181847962847
NTUC FairPrice Lot 1 Shoppers' Mall,NTUC FairPrice Lot 1 Shoppers' Mall,1,689812,Authorised Retailer (FairPrice),CHOA CHU KANG,WEST REGION,residential,192070,6.1173,31397.9,3,1,689812,concurrent,1.38493874036122,103.745022476677,405645,17623,0,20208,130652,62,0.9584,1259567,48764,39224,179594,243694,285,0.9493,2732545,67371,47724,533903,409848,538,0.968,11.0,10,53,63,2200,4073,1983,285.0,48764.0,310.50335462968684,1,615728.152230669,0.0024390069409078495,44.985044018104375,0.03177004538577912,0.0034157449577098243,2.6859574621401348,565155.0,81.06602032555092,-2.0065180362227455
NTUC FairPrice Marine Parade Central,NTUC FairPrice Marine Parade Central,1,449411,Authorised Retailer (FairPrice),MARINE PARADE,CENTRAL REGION,residential,46220,6.1331,7536.2,1,0,,unique,1.30134714783304,103.907183612906,197153,91164,8964,11297,25949,28,0.6783,1029550,152787,28577,81718,427655,62,0.862,2289804,185946,32444,268334,491937,78,0.9194,11.0,13,50,63,1572,4042,2611,62.0,152787.0,141.90691993696092,1,370518.96795540495,0.0014676904593485193,27.07008283222409,0.024128686327077747,0.0034157449577098243,6.905759088412213,161882.0,23.220407679912295,8.255158340197955
NTUC FairPrice Marsiling MRT Station,NTUC FairPrice Marsiling MRT Station,1,739044,Authorised Retailer (FairPrice),WOODLANDS,NORTH REGION,residential,255130,13.6125,18742.3,1,0,,unique,1.43252114855026,103.774074641403,501649,0,41197,74148,28321,88,0.9621,1230180,376934,51197,294024,373210,202,0.7573,1861475,912656,79197,524943,1656134,285,0.6663,11.0,6,38,44,1727,4181,2456,202.0,376934.0,399.13480177972224,0,980275.0731709978,0.0038830410771396985,71.6188096267646,0.017915309446254073,0.0023855996530036867,-3.2635585406974195,496112.0,71.16246954508006,-3.2199101041891485
NTUC FairPrice NEX,NTUC FairPrice NEX,1,556083,Authorised Retailer (FairPrice),SERANGOON,NORTH-EAST REGION,residential,116900,10.1005,11573.6,1,0,,unique,1.35067551435975,103.871861623874,492073,19983,83592,60658,17617,81,0.8963,1931025,19983,109843,183555,129935,171,0.9637,4178321,59759,146503,508814,331179,219,0.9697,13.5,20,99,119,2609,4160,1574,171.0,19983.0,181.4510199238174,0,285603.90536008857,0.0011313270393761084,20.866195914252945,0.07560355781448538,0.006451962697896335,21.48310217274237,269154.0,38.60753887818975,12.938361032968249
