outlet_name,neighborhood_type,wins,expected_wins,std_residual,p_two,p_adj,significant
Sheng Siong Sengkang West Ave,residential,17,12.1,1.41,0.213423538714504,0.2884310867409782,False
NTUC FairPrice Anchorvale Village,residential,2,0.8,1.37,0.3703961454927488,0.4620660945444659,False
NTUC FairPrice Hougang Mall,residential,71,60.7,1.32,0.21304169176293725,0.2884310867409782,False
Singapore Pools Balestier Road Branch,residential,28,21.9,1.3,0.2356875067049243,0.3117426950387829,False
Singapore Pools Bukit Batok Central Branch,residential,94,82.6,1.25,0.23309172617600943,0.30940645503078834,False
Lucky Hill,residential,37,30.3,1.22,0.26173712274017585,0.34135645728001957,False
NTUC FairPrice Telok Blangah Street 32,residential,39,32.2,1.21,0.2657401040795697,0.34536954293268124,False
Teo Sook Cheng Agency,residential,120,107.7,1.18,0.2576058308409351,0.3383344186748901,False
Prime Admiralty Place,residential,17,12.8,1.17,0.3009106927187845,0.38834647474152534,False
NTUC FairPrice Zhongshan Mall,residential,6,3.7,1.17,0.35087596978378416,0.44364995501475085,False
Cheers Northshore Plaza II,residential,6,3.8,1.16,0.35556937779012293,0.4480654659314725,False
NTUC FairPrice Punggol Plaza,residential,64,55.8,1.1,0.30193157553630656,0.38834647474152534,False
Tampines Trading - 824,residential,22,17.4,1.1,0.323460820244063,0.413187965585738,False
Singapore Pools Woodlands N3 Branch,residential,65,57.0,1.05,0.3230502805024429,0.413187965585738,False
Singapore Pools Great World City Branch,residential,26,21.4,1.0,0.3658234851571495,0.45789315424032473,False
Rangoon Provision Shop,residential,76,68.5,0.9,0.39516247523063236,0.4864541361750029,False
7-Eleven Store McCallum Street,commercial,63,56.9,0.81,0.4519921109930701,0.5456086000013435,False
Singapore Pools Potong Pasir Branch,residential,40,35.3,0.79,0.47054267820282175,0.5607425526186981,False
Singapore Pools Tampines Mart Branch,residential,66,59.9,0.79,0.4648432731665165,0.5575129932190054,False
Singapore Pools IMM Branch,commercial,71,64.7,0.78,0.4678675109004789,0.5593416075829444,False
NTUC FairPrice Wisteria Mall,residential,14,11.5,0.75,0.5254691017473602,0.6124999217242667,False
Chuan Hao Departmental Store,residential,28,24.5,0.71,0.5276592199290063,0.6131367259611195,False
Nel's Store,residential,52,47.2,0.7,0.5216378459444229,0.6099401772328205,False
Sheng Siong Canberra Street,residential,4,2.9,0.68,0.6392449081453907,0.7203575551003949,False
7-Eleven Store Bedok North Street 2,residential,48,43.9,0.62,0.5764304227452517,0.6595354223434935,False
NTUC FairPrice Bedok North Street 1,residential,91,85.2,0.62,0.5609657733062374,0.6458031896395882,False
Singapore Pools Bukit Batok N3 Branch,residential,34,30.6,0.61,0.5859104340603046,0.6642692763054517,False
Singapore Pools Toa Payoh Lorong 8 Branch,residential,67,62.3,0.6,0.5821727233324845,0.6620439811067582,False
Seah Koon Huat - Bukit Merah View,residential,81,75.8,0.6,0.5807293149955636,0.6620439811067582,False
Singapore Pools King George's Ave Branch,mixed,97,91.3,0.6,0.574463885911563,0.6593077829077324,False
Shell Station Geylang Road,mixed,1,0.6,0.55,0.87992317790031,0.9142377307989294,False
Singapore Pools Commonwealth Crescent Branch,residential,44,40.9,0.48,0.6689126246733695,0.747019188632236,False
Cheng Tai Boon Beng,mixed,47,43.9,0.47,0.679787142166275,0.7541235352629446,False
Li Thoe Trading,residential,94,89.7,0.45,0.6813394943260385,0.7541235352629446,False
NTUC FairPrice Tanjong Pagar Plaza,mixed,81,77.1,0.45,0.6843224231719679,0.7551842125536805,False
Singapore Pools Hougang N1 Branch,mixed,132,127.0,0.44,0.6810342113271186,0.7541235352629446,False
Singapore Pools Bedok North Branch,residential,51,48.4,0.38,0.744004813079267,0.8114438458437621,False
NTUC FairPrice Woodlands Civic Centre,residential,61,58.5,0.33,0.7767923612311681,0.842277763776819,False
Cheers Woodlands Centre,residential,42,39.9,0.33,0.7847346773806618,0.845971198447939,False
Uni-Foto Pte Ltd,mixed,43,41.0,0.32,0.7924716749916674,0.8494021114134827,False
Xie Sheng Departmental Service Company - City Plaza,residential,1,0.8,0.25,1.0,1.0,False
7-Eleven Store Changi Road,residential,45,43.3,0.25,0.8401806805233194,0.887901787946001,False
NTUC FairPrice Killiney Road,mixed,37,35.5,0.25,0.8450539804847998,0.887901787946001,False
Clifford Gift Shop - Ang Mo Kio Avenue 10,residential,1,0.8,0.23,1.0,1.0,False
Li Li Cheng Supermarket (Punggol) Pte Ltd,residential,29,27.9,0.21,0.8825212244649216,0.9143900464594883,False
NTUC FairPrice Le Quest,residential,10,9.6,0.13,0.9779441938770056,1.0,False
NTUC FairPrice Punggol Oasis Terraces,residential,24,23.7,0.07,1.0,1.0,False
Metro Woodlands,residential,63,63.2,-0.03,1.0,1.0,False
Singapore Pools Yishun N7 Branch,residential,39,39.2,-0.04,1.0,1.0,False
Prime Buangkok Square,residential,11,11.4,-0.11,1.0,1.0,False
Singapore Pools Yishun N4 Branch,residential,59,60.5,-0.2,0.9117008994022447,0.9420067464737876,False
Sheng Siong Tanglin Halt Road,residential,26,27.2,-0.22,0.9231309506220139,0.9511818911105282,False
NTUC FairPrice Bukit Merah Central,residential,76,78.3,-0.26,0.8567803904947204,0.8976940608273335,False
7-Eleven Store Esplanade MRT Station,commercial,11,11.9,-0.27,0.9411998413474525,0.9671282116325063,False
Prime Punggol Field,residential,71,73.3,-0.27,0.8437714682364429,0.887901787946001,False
Lee Ah Lan Trading,residential,27,28.5,-0.28,0.8764294747753575,0.9131513801430401,False
Singapore Pools Anchorvale Road Branch,residential,53,55.2,-0.29,0.8370857750199007,0.887901787946001,False
NTUC FairPrice Bedok North Street 4,residential,60,62.5,-0.31,0.8179721559607086,0.8742223901815024,False
Singapore Pools Sim Lim Square Branch,mixed,67,69.9,-0.34,0.790777747113794,0.8494021114134827,False
Giant Plantation Plaza,residential,2,2.6,-0.4,1.0,1.0,False
Fortune Supermarket Sembawang Drive,mixed,1,1.5,-0.41,1.0,1.0,False
NTUC FairPrice Canberra Plaza,residential,8,9.3,-0.41,0.8449992786918908,0.887901787946001,False
NTUC FairPrice Bukit Panjang Plaza,residential,60,63.5,-0.43,0.7243433928886565,0.7923169664148646,False
Evercool Engineering,residential,70,73.7,-0.44,0.7182379130155565,0.7879492398670663,False
Singapore Pools Funan Branch,commercial,18,20.0,-0.46,0.7556207568721975,0.8217100358989204,False
Laura's Gifts,residential,84,88.3,-0.46,0.6940625814915703,0.7636735778653561,False
NTUC FairPrice Tampines North Drive 2,residential,1,1.6,-0.49,1.0,1.0,False
Cold Storage Aperia Mall,mixed,2,3.0,-0.56,0.864634548680733,0.9033856769129227,False
ACE Signature Geylang Road,residential,2,3.0,-0.6,0.827589178210173,0.8819736099211273,False
Sheng Siong Serangoon North Avenue 5,residential,7,8.9,-0.64,0.6663567454722105,0.7463995977811847,False
Giant Paya Lebar Square,residential,29,33.2,-0.72,0.5369235102176997,0.6200386046786439,False
Poon Long Heng,residential,26,30.0,-0.73,0.536288647586263,0.6200386046786439,False
NTUC FairPrice Greenridge Shopping Centre,residential,1,2.1,-0.73,0.7838749897058896,0.845971198447939,False
Singapore Pools Telok Blangah Branch,residential,45,50.2,-0.73,0.518598865922417,0.6082936383303822,False
Cheers Bedok North Street 3,residential,45,50.5,-0.77,0.4891214318991897,0.5799625464896546,False
7-Eleven Store Clementi Street 11,residential,20,23.8,-0.77,0.5157860209157822,0.6069027943267721,False
7-Eleven Store Bedok Road,residential,3,4.8,-0.81,0.5981286764586821,0.6760666555123891,False
NTUC FairPrice Compassvale Link,residential,12,15.2,-0.82,0.5050256857625345,0.5961220911057764,False
NTUC FairPrice Havelock Road,residential,36,41.4,-0.83,0.45671363750088295,0.5495296347994495,False
Sheng Siong Clementi Avenue 6,residential,1,2.3,-0.87,0.6499953335729725,0.7302658416346949,False
Afro Asia Co Pte Ltd,residential,39,44.9,-0.88,0.4234057503454264,0.516112238166157,False
Sheng Siong Woodlands Drive 16,residential,6,8.6,-0.89,0.48978070279957425,0.5799625464896546,False
Sheng Siong Junction 9,residential,20,24.4,-0.89,0.4396257560265617,0.532403918824375,False
Seng Yeok Chan Agency,residential,69,76.9,-0.9,0.4041776430978499,0.49428937991966565,False
NTUC FairPrice Tiong Bahru Plaza,residential,61,68.5,-0.91,0.3988555453948955,0.48938525800097377,False
U Stars Keat Hong Link,residential,11,14.6,-0.94,0.4297739988697188,0.5221684090501795,False
Ng Teo Guan Self Service,mixed,159,171.5,-0.95,0.3624625178075149,0.45521386916566686,False
Singapore Pools Fajar Road Branch,residential,45,51.9,-0.96,0.3759804901765396,0.464373254423342,False
NTUC FairPrice The Woodgrove,residential,33,39.1,-0.97,0.3747560398632552,0.464373254423342,False
Wanrise,mixed,92,102.0,-0.99,0.3458993196803209,0.43884505524067924,False
Hin Teck Leong Trading Company - Whampoa Drive,residential,16,20.6,-1.01,0.37179374731161047,0.46226355915743567,False
Ng Nam Thye Trading - Taman Jurong,mixed,33,40.6,-1.2,0.2598465994906145,0.3400799354736815,False
Pinthely Floral Centre,mixed,46,55.4,-1.26,0.22799094126563677,0.30544752661451435,False
Singapore Pools Lengkok Bahru Branch,residential,46,55.4,-1.26,0.22929036850419307,0.30544752661451435,False
Singapore Pools Silat Avenue Branch,residential,32,40.0,-1.27,0.2289656837514103,0.30544752661451435,False
Majestic Betting Centre - Lottery Lobby (Public),commercial,6,10.0,-1.27,0.25672427874998816,0.3383344186748901,False
Sheng Siong Senja Close,residential,2,4.9,-1.3,0.27281989850216853,0.353339660212878,False
Prime Keat Hong,residential,29,36.9,-1.3,0.21654955594694691,0.2915992215458888,False
NTUC FairPrice Boon Lay Place,residential,100,114.6,-1.36,0.18481340920827632,0.2525106286984874,False
Choice Decor Co-Operative Society Ltd,residential,42,51.8,-1.36,0.1920790450659513,0.26147986791824757,False
Singapore Pools New Upper Changi Branch,residential,63,75.3,-1.42,0.16767358777833186,0.2307926340255578,False
Cheers Haig Road,residential,33,42.5,-1.46,0.1587474376324552,0.22161067092407108,False
Hao Mart Punggol Walk,residential,4,8.3,-1.48,0.17234789867268135,0.23634472869452258,False
Jurong East Betting Centre - Lottery Lobby (Public),residential,2,5.6,-1.51,0.16768043919819348,0.2307926340255578,False
NTUC FairPrice Paya Lebar Quarter,residential,7,12.5,-1.55,0.1408781726043527,0.1982926731374474,False
Giant VivoCity,mixed,4,8.6,-1.57,0.13901190939104535,0.19640697804113605,False
NTUC FairPrice Dawson Place,residential,31,41.6,-1.65,0.10670959565327685,0.1538579311339886,False
Prime Joo Seng,mixed,7,13.0,-1.67,0.10683432751663016,0.1538579311339886,False
Prime Bidadari,residential,1,4.6,-1.69,0.10886559187770463,0.15618025296301472,False
A.P. Mini Mart - Bedok Reservoir Road,residential,21,30.3,-1.69,0.09779444193613267,0.14304834055755877,False
Prime Hougang,residential,5,10.6,-1.71,0.09630042553514981,0.1414175540339011,False
Prime Century Square,residential,15,23.3,-1.72,0.09142746675789508,0.13479227312527614,False
Sheng Siong Tampines Avenue 9,residential,7,13.4,-1.74,0.08986803553104328,0.13354891335888106,False
Prime Yishun Avenue 6,residential,6,12.1,-1.76,0.08631104390190505,0.12877607750164233,False
Giant Compassvale Bow,residential,39,51.7,-1.77,0.08007023306111363,0.12042821343465882,False
NTUC FairPrice Sengkang East Drive,mixed,1,5.0,-1.78,0.08259984368775604,0.1237339023916988,False
Sheng Siong Jalan Berseh,mixed,9,16.2,-1.79,0.07890821216234052,0.11944496759743754,False
Giant Sembawang Shopping Centre,residential,20,29.8,-1.8,0.075267776807258,0.1145944884767744,False
Xie Sheng Departmental Service Company,residential,72,89.3,-1.83,0.06899688415963584,0.1063464371551412,False
Singapore Pools Beo Crescent Branch,residential,50,64.9,-1.85,0.06604550160024504,0.10221980123191453,False
NTUC FairPrice Senja Road,residential,24,35.0,-1.86,0.06513576637076705,0.1012318369012338,False
Fatt Chye Heng Trading,mixed,117,138.9,-1.86,0.06419581080797888,0.10018844113546496,False
7-Eleven Balestier Rd,residential,2,6.9,-1.88,0.06167914293358166,0.09666521140431077,False
NTUC FairPrice Xpress Macpherson Road,mixed,54,69.9,-1.9,0.057931955474604155,0.09117560924906055,False
Sheng Siong Marsiling Mall,residential,7,14.2,-1.91,0.056287532358937735,0.08896292190628718,False
Chng Siow Eng Agency,residential,64,82.4,-2.02,0.042515649532061536,0.06835490204939204,False
U Stars Sumang Walk,residential,7,14.8,-2.02,0.040768194711576215,0.06582916288925511,False
Singapore Pools Peace Centre Branch,mixed,49,66.4,-2.13,0.03176333850583885,0.05219262230254578,False
Shell Station Tuas South Avenue 5,commercial,4,11.3,-2.17,0.02443975937026912,0.04069656359424278,True
Singapore Pools Toa Payoh Lorong 4 Branch,residential,53,71.5,-2.18,0.02757235452971557,0.04550658513090225,True
NTUC FairPrice Serangoon North Avenue 1,residential,69,90.1,-2.22,0.024957397552601627,0.04137381905386848,True
Livewire Singapore Pools,mixed,72,93.6,-2.23,0.02434260107544799,0.04069656359424278,True
