outlet_name,neighborhood_type,wins,expected_wins,std_residual,p_two,p_adj,significant
Ichido Kopitiam City,residential,9,29.8,-3.81,1.643497507618186e-05,5.1514669776603654e-05,True
NTUC FairPrice Tampines Street 44,residential,47,82.9,-3.94,2.5327351459064027e-05,7.872585078525735e-05,True
NTUC Foodfare - Seletar Mall,residential,2,19.8,-4.0,1.0559649288283878e-06,3.978534529828168e-06,True
Holland Drive Betting Centre – Lottery Lobby (Public),residential,14,39.4,-4.04,5.968789435462853e-06,1.9878200530603968e-05,True
Singapore Pools Chai Chee Branch,residential,35,68.6,-4.06,1.155955339614739e-05,3.685225142532459e-05,True
Serangoon Avenue 3 Betting Centre - Lottery Lobby (Public),residential,7,29.0,-4.08,2.316243614773987e-06,8.387950177773759e-06,True
NTUC FP Century Square,residential,14,40.4,-4.15,3.0742365644328607e-06,1.0920859414604352e-05,True
NTUC FairPrice Rivervale Mall,residential,46,84.1,-4.15,8.149733721556173e-06,2.6665356825793444e-05,True
NTUC FairPrice Sengkang East Ave,residential,12,37.6,-4.17,2.2924265360464623e-06,8.383089195542454e-06,True
Yeo Kean Fatt Dept Store,residential,31,64.5,-4.17,5.63787472650118e-06,1.9117520663499457e-05,True
Warriors Football Club (S),residential,8,32.0,-4.24,9.292871964310876e-07,3.5369808598856702e-06,True
River Hong Bao,commercial,3,23.6,-4.24,2.910399331798189e-07,1.2197516300682298e-06,True
Precise Optics,commercial,54,95.5,-4.25,5.338131729014433e-06,1.8267184724058566e-05,True
Golden Lagoon Trading,residential,36,72.1,-4.25,3.892590653966355e-06,1.3697512395560853e-05,True
Goh Geok Kwee Agency - Redhill Lane,residential,29,65.0,-4.46,8.987386081275539e-07,3.4559742353770888e-06,True
7-Eleven Store Circular Road,commercial,28,64.0,-4.5,6.782267619650149e-07,2.635193564718235e-06,True
NTUC FairPrice Tai Seng,commercial,18,50.7,-4.59,2.2083901499262519e-07,9.806303880029666e-07,True
Hin Teck Leong Trading Company - Rowell Road,mixed,44,87.1,-4.62,5.109981053274957e-07,2.0717640574690858e-06,True
Singapore Pools Geylang Rd Branch,mixed,23,58.4,-4.63,2.3517941488411722e-07,1.0134491329546784e-06,True
