outlet_name,postal_code,outlet_type,planning_area,region,neighborhood_type,pa_population,n_outlets_at_postal,shared_postal,latitude,longitude,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,open_hours_daily,g1_wins_hist,g2_wins_hist,combined_wins_hist,first_draw,last_draw,draws_i,hdb_proxy,com_area_proxy,volume_proxy,is_closed,exposure,p_share,expected_wins,win_rate_per_draw,win_share,std_residual,exposure_hdb,expected_wins_hdb,std_residual_hdb,wins,reliable,p_two,sig
NTUC FairPrice Yishun MRT Station,769093,Authorised Retailer (FairPrice),YISHUN,NORTH REGION,residential,221610.0,1,0,1.42944308477331,103.835005047246,353806,14894,79431,56657,61080,88,0.8781,1348952,16937,172486,324985,225175,322,0.9329,2942168,489309,279932,511800,461219,592,0.8304,11.0,18,85,103,1468,4169,2715,322.0,16937.0,331.063921309133,0,898838.546354296,0.0034861927762693,64.29933956551189,0.0379373848987108,0.0055844719149859,4.826308961500506,874230.0,123.8562205498374,-1.8740306908759503,103,True,1.0818859267506998e-05,True
Clifford Gift Shop,560532,Authorised Retailer,ANG MO KIO,NORTH-EAST REGION,residential,162280.0,1,0,1.37380851539559,103.854594160601,756508,0,38897,160862,11062,70,0.9755,1394848,317150,179697,532123,102974,178,0.7848,2849905,690104,236955,850019,553774,305,0.7859,11.0,22,89,111,1344,4179,2839,178.0,317150.0,347.7244283634369,0,987189.6521237976,0.0038288672064641,70.61962675602405,0.0390982740401549,0.0060182173064411,4.805157419601916,505342.0,71.59414593996539,4.6571688959953415,111,True,1.0918743757045997e-05,True
Springdale Garments Co,560408,Authorised Retailer,SERANGOON,NORTH-EAST REGION,residential,116900.0,1,0,1.36209053459188,103.854587757902,348195,140402,26191,73611,22283,49,0.7018,1132878,161289,89904,158546,462398,163,0.851,3201078,421150,274209,494918,605373,404,0.8567,11.0,20,68,88,1198,4179,2985,163.0,161289.0,249.3146250238385,0,744204.1556961578,0.0028864351247292,53.237409440505374,0.0294807370184254,0.0047711993060073,4.764350195715564,486555.0,68.93250447779891,2.296580242247415,88,True,1.605035103186786e-05,True
NTUC FairPrice Clementi Avenue 2,120352,Authorised Retailer (FairPrice),CLEMENTI,WEST REGION,residential,91990.0,1,0,1.31427860227337,103.771350557894,392214,0,35585,50830,18240,50,0.9584,1504789,3788,111419,769974,148564,161,0.9633,4087988,17819,167701,952265,305410,246,0.9762,11.0,17,45,62,1241,4142,2942,161.0,3788.0,163.02716738023238,0,479625.92643264367,0.0018602544882202,34.31053378073496,0.0210740992522093,0.0033615267837779,4.727165925325075,473662.0,67.10589334394506,-0.6232917916269728,62,True,2.7021106852874535e-05,True
Singapore Pools Ang Mo Kio N2 Branch,560202,Branch,ANG MO KIO,NORTH-EAST REGION,residential,162280.0,1,0,1.36844644010937,103.844516260527,607928,19300,108154,33719,28069,101,0.9002,1303532,19300,210960,200730,735595,257,0.9186,3523215,198400,380365,904260,886373,529,0.9053,12.0,17,65,82,1552,4160,2631,257.0,19300.0,267.32849272399284,0,703341.2643568252,0.0027279462424015,50.31424049485504,0.0311668567084758,0.0044458902624159,4.467027858443286,676167.0,95.79571632238874,-1.4095198971959382,82,True,5.0738628666334174e-05,True
NTUC FairPrice New Upper Changi Road,461057,Authorised Retailer (FairPrice),BEDOK,EAST REGION,residential,276990.0,1,0,1.32424554153984,103.941568704132,582172,0,30407,32812,25031,52,0.9752,2088361,0,91806,113196,162684,198,0.9789,3640692,487933,308732,428720,290273,298,0.8553,11.0,14,52,66,1459,4179,2724,198.0,0.0,198.0,0,539352.0,0.0020919052191218,38.58309986148294,0.0242290748898678,0.0035783994795055,4.4138725794156,539352.0,76.41250044724605,-1.1911674776513612,66,True,7.465236740816154e-05,True
NTUC FairPrice White Sands,518457,Authorised Retailer (FairPrice),PASIR RIS,EAST REGION,residential,147110.0,1,0,1.37244981663527,103.949715694737,324746,11525,0,0,20806,71,0.9657,1407635,11525,33122,122565,531475,246,0.9807,2818382,27786,101624,401704,1290713,660,0.9733,11.0,20,61,81,1406,4152,2777,246.0,11525.0,252.16766210590765,0,700269.5976681055,0.0027160326209122,50.09450566010508,0.0291681670867843,0.004391672088484,4.366572214958712,683142.0,96.78389693656936,-1.6044001137992456,81,True,7.305173697105114e-05,True
Singapore Pools Northpoint City Branch,769098,Branch,YISHUN,NORTH REGION,residential,221610.0,2,1,1.42969848626288,103.835776491468,351355,14894,79431,51094,61080,77,0.8775,1381402,16937,172486,357443,214726,348,0.9343,2981205,508015,235256,524027,470758,610,0.832,11.0,2,15,17,3941,4179,242,348.0,16937.0,357.063921309133,0,86409.46895681017,0.0003351436892647,6.181390204798197,0.0702479338842975,0.0009217089568423,4.35139368537261,84216.0,11.931271484420698,1.4674241659055878,17,True,0.0004909618907617071,True
7-Eleven Store Eunos Crescent,401001,Authorised Retailer (7-Eleven),GEYLANG,CENTRAL REGION,residential,110110.0,1,0,1.32129030482793,103.902727807563,424557,10132,0,68275,16519,51,0.9767,1557122,298903,65336,152382,53556,139,0.8274,3344984,1159884,77753,301653,136096,231,0.7384,11.0,26,72,98,1194,4167,2989,139.0,298903.0,298.95945392122456,0,893589.8077705402,0.0034658352664479,63.92386565436691,0.0327868852459016,0.0053133810453263,4.262052614666253,415471.0,58.861704366198246,5.101354365357957,98,True,9.07459120751245e-05,True
Singapore Pools Bedok Town Centre Branch,460204,Branch,BEDOK,EAST REGION,residential,276990.0,1,0,1.32635909520616,103.929995919076,355098,116078,143484,26411,45564,73,0.6944,1755102,417566,277003,156456,142202,264,0.773,3723386,590850,344552,413581,363364,421,0.8362,12.0,11,68,79,2754,4156,1429,264.0,417566.0,487.4625592117512,0,696583.9971135925,0.002701737824498,49.83085243504183,0.0552834149755073,0.0042832357406202,4.132135737128426,377256.0,53.44760799760871,3.495162922759523,79,True,0.0001664484180303428,True
Singapore Pools Toa Payoh Lorong 1 Branch,310111,Branch,BISHAN,CENTRAL REGION,residential,87320.0,1,0,1.34123713837195,103.845306137194,467695,57587,0,105788,6127,67,0.8904,1569535,202067,621,506008,115265,230,0.8858,3180066,504346,64953,874619,423014,417,0.8568,12.0,17,70,87,1845,4156,2338,230.0,202067.0,338.13717819995145,0,790564.7226314865,0.0030662470322283,56.553860262418986,0.0372112917023096,0.0047169811320754,4.048564932966205,537740.0,76.18412092752429,1.2391662961869565,87,True,0.00020588312593537912,True
NTUC FairPrice Toa Payoh HDB Centre,310500,Authorised Retailer (FairPrice),NOVENA,CENTRAL REGION,residential,49330.0,1,0,1.33285542884681,103.847092284316,327310,71451,45015,42587,76291,83,0.7883,1486870,230950,106269,250073,227697,229,0.8443,3151712,365160,149301,817048,408225,419,0.88,12.0,22,69,91,1754,4164,2429,229.0,230950.0,352.59406189669164,0,856450.976347064,0.0033217903471988,61.26710116373599,0.0374639769452449,0.004933853827803,3.798600202544458,556241.0,78.80524344264336,1.3737116376552418,91,True,0.00045718645377569735,True
Hock Soon Ann,460073,Authorised Retailer,BEDOK,EAST REGION,residential,276990.0,1,0,1.31983803117222,103.943971359147,516035,0,0,14093,27766,48,1.0,1924143,0,113780,128839,144717,102,0.9721,3451595,173322,135106,304081,746074,198,0.9359,11.0,2,25,27,2196,4160,1987,102.0,0.0,102.0,0,202674.0,0.0007860818136955,14.498492971799852,0.0135883241066935,0.0014638906961613,3.283227208713653,202674.0,28.71376599260806,-0.3198206062831132,27,True,0.0042233797590210155,True
Singapore Pools Ang Mo Kio N4 Branch,560447,Branch,SERANGOON,NORTH-EAST REGION,residential,116900.0,1,0,1.36747901420817,103.855967139125,418517,0,32646,68130,38241,82,0.9638,1622056,199591,128801,249215,101581,208,0.8647,3049744,727952,236955,464649,577171,323,0.7892,12.0,15,69,84,1570,4163,2613,208.0,199591.0,314.8121342629252,0,822604.1068290236,0.0031905134760725,58.8458305526821,0.0321469575200918,0.0045543266102797,3.279080916551244,543504.0,77.00073355263355,0.7976366397399623,84,True,0.0023506884419160043,True
Kim Chwee Trading,600256,Authorised Retailer,TENGAH,WEST REGION,residential,10.0,1,0,1.34416527251747,103.738263367232,489107,0,44833,78674,59929,62,0.958,1424941,0,122919,288477,414523,248,0.9603,2675956,339170,193558,551665,896592,452,0.8641,11.0,21,53,74,1280,4169,2903,248.0,0.0,248.0,0,719944.0,0.0027923408295054,51.50193425939919,0.0254908715122287,0.0040121448709607,3.1349701601023408,719944.0,101.9978070388023,-2.772225785880593,74,True,0.0037253146950136035,True
NTUC FairPrice Hillion Mall,678278,Authorised Retailer (FairPrice),CHOA CHU KANG,WEST REGION,residential,192070.0,1,0,1.37843100800213,103.762842789877,320502,11499,61364,32639,22961,63,0.8928,1713375,15415,73830,104959,138910,264,0.971,3033423,18647,156363,651703,459998,498,0.9698,12.0,3,27,30,3298,4177,885,264.0,15415.0,272.2494153026088,0,240940.7325428088,0.0009345013570086,17.235943028667815,0.0338983050847457,0.001626545217957,3.074476720723091,233640.0,33.1008628956499,-0.5389679081232693,30,True,0.006611904112206291,True
Ng Nam Thye Trading - Ang Mo Kio Avenue 3,569922,Authorised Retailer,ANG MO KIO,NORTH-EAST REGION,residential,162280.0,2,1,1.36929729654979,103.84715944541,366103,19300,108154,8873,17265,91,0.8513,1592959,19300,228174,155461,559198,270,0.9275,3299366,204060,380365,979822,924221,527,0.8985,12.0,4,28,32,3245,4169,938,270.0,19300.0,280.32849272399284,0,262948.1261751053,0.0010198581955828,18.810264559330275,0.0341151385927505,0.0017349815658208,3.04115553970997,253260.0,35.88051933295794,-0.647829158133794,32,True,0.006929987994927113,True
Singapore Pools Lorong Lew Lian Branch,531002,Branch,SERANGOON,NORTH-EAST REGION,residential,116900.0,1,0,1.35060795612848,103.875680063863,469141,19983,28901,46346,15719,49,0.9335,1896161,19983,121062,210972,132419,162,0.9605,4311579,80126,152966,687451,327243,272,0.9655,12.0,4,36,40,2164,4160,2019,162.0,19983.0,172.69400363230824,0,348669.19333363033,0.0013523318821133,24.94240923369925,0.0198117880138682,0.002168726957276,3.014992870526335,327078.0,46.338657910389394,-0.9311627374668036,40,True,0.00663181040569244,True
